n_test	n_gallery_kos	recall@1	recall@10	recall@100	recall@1000	pct_partially_accurate	ranking_score	ndcg	median_rank_true	cell	fold	method	alpha
4851	3677	0.004329004329004329	0.027004741290455575	0.15914244485673057	0.6386312100597815	0.4329004329004329	0.910726472316618	0.11966355090271386	601.0	A549	1	pearson_train_gallery	0.7325584292411804
4851	3677	0.008245722531436817	0.03896103896103896	0.2026386312100598	0.6639868068439497	0.8245722531436818	0.9164771827945721	0.13005565225115237	541.0	A549	1	gallery_dual	0.7325584292411804
4851	3677	0.007215007215007215	0.05071119356833643	0.24778396206967634	0.7458256029684601	0.7215007215007215	0.9309861456318023	0.13877347658054093	374.0	A549	1	gallery_fuse	0.7325584292411804
4851	3683	0.0035044320758606472	0.0282415996701711	0.16470830756545043	0.6448155019583591	0.35044320758606473	0.9131329752030442	0.12098196619350643	578.0	A549	2	pearson_train_gallery	0.8057683706283569
4851	3683	0.010719439290867862	0.044320758606472895	0.1999587713873428	0.6767676767676768	1.0719439290867863	0.919688482358455	0.13260204248896337	516.0	A549	2	gallery_dual	0.8057683706283569
4851	3683	0.010925582354153782	0.049474335188620905	0.2401566687280973	0.756338899196042	1.0925582354153782	0.9337715777885351	0.14082935616239928	355.0	A549	2	gallery_fuse	0.8057683706283569
4851	3682	0.0041228612657184084	0.02865388579674294	0.16512059369202226	0.6439909297052154	0.4122861265718409	0.9119484605406859	0.12166019710860444	573.0	A549	3	pearson_train_gallery	0.7829266786575317
4851	3682	0.006596578025149453	0.041022469593898166	0.1999587713873428	0.6730571016285302	0.6596578025149453	0.9187998510906845	0.12983511554836236	514.0	A549	3	gallery_dual	0.7829266786575317
4851	3682	0.0070088641517212944	0.05009276437847866	0.24572253143681716	0.7437641723356009	0.7008864151721295	0.9319251392119733	0.13850040488744383	350.0	A549	3	gallery_fuse	0.7829266786575317
4851	3678	0.0024737167594310453	0.025561739847454135	0.16470830756545043	0.6652236652236653	0.24737167594310452	0.9142314430268356	0.11949129555960543	556.0	A549	4	pearson_train_gallery	0.6843894720077515
4851	3678	0.00927643784786642	0.04308390022675737	0.19027004741290457	0.6602762317048031	0.9276437847866419	0.9172185745134074	0.13081656240633668	549.0	A549	4	gallery_dual	0.6843894720077515
4851	3678	0.007215007215007215	0.049474335188620905	0.24592867450010308	0.7520098948670377	0.7215007215007215	0.9332225939568763	0.1389028247660808	356.0	A549	4	gallery_fuse	0.6843894720077515
4851	3675	0.002886002886002886	0.025974025974025976	0.1583178726035869	0.6551226551226551	0.2886002886002886	0.9147821197093313	0.11957834440460666	572.0	A549	5	pearson_train_gallery	0.6857950091362
4851	3675	0.01030715316429602	0.04555761698618842	0.18408575551432693	0.6542980828695114	1.0307153164296021	0.9153019788118173	0.1306818560736854	568.0	A549	5	gallery_dual	0.6857950091362
4851	3675	0.00927643784786642	0.04329004329004329	0.23850752422180993	0.7534528963100392	0.9276437847866419	0.9333583105779555	0.1382024480020633	361.0	A549	5	gallery_fuse	0.6857950091362
4359	3658	0.004588208304657031	0.021335168616655197	0.1553108511126405	0.6217022252810278	0.45882083046570316	0.9043641585060698	0.11701080614455722	658.0	A375	1	pearson_train_gallery	0.7517154216766357
4359	3658	0.005047029135122735	0.034182151869694886	0.21381050699701767	0.700160587290663	0.5047029135122735	0.9220626282726629	0.1296263273263708	452.0	A375	1	gallery_dual	0.7517154216766357
4359	3658	0.004588208304657031	0.03762330809818766	0.23514567561367286	0.7377838953888507	0.45882083046570316	0.9283132271674338	0.1329987818777919	370.0	A375	1	gallery_fuse	0.7517154216766357
4359	3663	0.004588208304657031	0.02798807065840789	0.16471667813718743	0.6301904106446433	0.45882083046570316	0.906717434960349	0.11979794958458068	644.0	A375	2	pearson_train_gallery	0.7148098349571228
4359	3663	0.004817618719889883	0.03670566643725625	0.21862812571690754	0.6859371415462262	0.4817618719889883	0.9210714708067754	0.12957891742526279	482.0	A375	2	gallery_dual	0.7148098349571228
4359	3663	0.0066529020417526955	0.04381738930947465	0.2477632484514797	0.7421426932782749	0.6652902041752695	0.9297388429168914	0.13571647187419297	362.0	A375	2	gallery_fuse	0.7148098349571228
4359	3651	0.0041293874741913286	0.027070428997476484	0.1605872906629961	0.6269786648313833	0.41293874741913283	0.9067130034601666	0.11903148723283008	663.0	A375	3	pearson_train_gallery	0.748130738735199
4359	3651	0.0055058499655884375	0.04611149346180317	0.22918100481761872	0.70314292268869	0.5505849965588437	0.9252228873325974	0.13343365869432705	414.0	A375	3	gallery_dual	0.748130738735199
4359	3651	0.005964670796054141	0.047487955953200274	0.25510438173893096	0.7414544620325763	0.5964670796054141	0.9311139352826282	0.13689809618607157	352.0	A375	3	gallery_fuse	0.748130738735199
4359	3636	0.0034411562284927736	0.02752924982794219	0.16379903647625602	0.6226198669419591	0.3441156228492774	0.9053615457620686	0.11837471674574185	646.0	A375	4	pearson_train_gallery	0.7083109617233276
4359	3636	0.006423491626519844	0.0364762560220234	0.2188575361321404	0.6836430373938976	0.6423491626519844	0.9187174022485989	0.13027839945062553	464.0	A375	4	gallery_dual	0.7083109617233276
4359	3636	0.006882312456985547	0.041752695572378984	0.2420279880706584	0.7315898141775636	0.6882312456985548	0.9268839077970512	0.1361252479139306	364.0	A375	4	gallery_fuse	0.7083109617233276
4358	3655	0.0025240936209270305	0.023864157870582835	0.1564938044974759	0.6291877007801744	0.2524093620927031	0.9073957467707722	0.1168337123364892	618.0	A375	5	pearson_train_gallery	0.6879645586013794
4358	3655	0.0073428178063331805	0.03763194125745755	0.2143184947223497	0.692748967416246	0.7342817806333181	0.9219206982871726	0.13170329005252598	463.5	A375	5	gallery_dual	0.6879645586013794
4358	3655	0.0052776502983019734	0.042450665442863696	0.2469022487379532	0.7379531895364846	0.5277650298301974	0.9303801035401721	0.13478961360130456	361.0	A375	5	gallery_fuse	0.6879645586013794
4257	3680	0.0018792576932111817	0.021611463471928587	0.14047451256753582	0.633779657035471	0.18792576932111815	0.9105369168652067	0.1152769485339064	652.0	AGS	1	pearson_train_gallery	0.6340867877006531
4257	3680	0.006577401926239136	0.02865867982147052	0.15644820295983086	0.6039464411557435	0.6577401926239136	0.9039270716137301	0.1196147394776735	697.0	AGS	1	gallery_dual	0.6340867877006531
4257	3680	0.005402865867982147	0.03406154568945267	0.20977214000469815	0.7272727272727273	0.5402865867982147	0.928767369345249	0.13061624919570017	409.0	AGS	1	gallery_fuse	0.6340867877006531
4257	3679	0.0028188865398167725	0.021611463471928587	0.12990368804322291	0.617805966643176	0.28188865398167723	0.9078788659181378	0.11440191672964656	677.0	AGS	2	pearson_train_gallery	0.742710292339325
4257	3679	0.0072821235611933285	0.02865867982147052	0.16983791402396053	0.6044162555790463	0.7282123561193329	0.9051193418950392	0.12183425614433574	656.0	AGS	2	gallery_dual	0.742710292339325
4257	3679	0.005872680291284942	0.03382663847780127	0.2154099130843317	0.7108292224571294	0.5872680291284943	0.9265715042558189	0.12994487999720825	433.0	AGS	2	gallery_fuse	0.742710292339325
4257	3681	0.003993422598073761	0.022081277895231382	0.13883016208597604	0.6232088325111581	0.3993422598073761	0.9088543139494987	0.11586879076021749	665.0	AGS	3	pearson_train_gallery	0.6957515478134155
4257	3681	0.005872680291284942	0.027953958186516328	0.1738313366220343	0.6307258632840028	0.5872680291284943	0.909666865798536	0.12126867489195729	613.0	AGS	3	gallery_dual	0.6957515478134155
4257	3681	0.006577401926239136	0.036645525017618044	0.21893352125910265	0.7329105003523608	0.6577401926239136	0.9289869975044067	0.1315815711452909	417.0	AGS	3	gallery_fuse	0.6957515478134155
4257	3679	0.002583979328165375	0.020202020202020204	0.13765562602771905	0.6199201315480385	0.25839793281653745	0.9081590403369617	0.11424101356821505	678.0	AGS	4	pearson_train_gallery	0.6979724168777466
4257	3679	0.007047216349541931	0.031007751937984496	0.17430115104533708	0.6412966878083157	0.704721634954193	0.9118683427063854	0.12403968724952384	583.0	AGS	4	gallery_dual	0.6979724168777466
4257	3679	0.00516795865633075	0.03218228799624148	0.21869861404745125	0.7268029128494244	0.5167958656330749	0.9287612971823498	0.1308432536092275	404.0	AGS	4	gallery_fuse	0.6979724168777466
4256	3686	0.0030545112781954886	0.019031954887218046	0.12453007518796992	0.6289943609022557	0.30545112781954886	0.9091149144207102	0.11307869077174452	671.0	AGS	5	pearson_train_gallery	0.6969751119613647
4256	3686	0.007988721804511278	0.039473684210526314	0.1886748120300752	0.6320488721804511	0.7988721804511278	0.9094338326920324	0.1266679317330565	613.5	AGS	5	gallery_dual	0.6969751119613647
4256	3686	0.00775375939849624	0.04017857142857143	0.22697368421052633	0.7333176691729323	0.775375939849624	0.9292115454509734	0.13470857434038247	395.0	AGS	5	gallery_fuse	0.6969751119613647
4237	3676	0.00401227283455275	0.018881283927307056	0.12013216898749116	0.5924002832192589	0.401227283455275	0.9037638613177096	0.11332359956365333	734.0	BICR6	1	pearson_train_gallery	0.7184507846832275
4237	3676	0.009204625914562191	0.03563842341279207	0.17654000472032097	0.64550389426481	0.920462591456219	0.9126218634378895	0.1259475244027018	592.0	BICR6	1	gallery_dual	0.7184507846832275
4237	3676	0.009676658012744867	0.036818503658248763	0.20486193061128158	0.7122964361576587	0.9676658012744866	0.9261879188150602	0.13223506135944815	448.0	BICR6	1	gallery_fuse	0.7184507846832275
