cell	method	median_rank_mean	median_rank_std	recall_at_10_mean	recall_at_10_std	partial_pct_mean	ndcg_mean	n_folds
A375	revpert	361.8	6.496152707564682	0.042626402875221	0.003566453156174		0.1353056422906583	5
A549	revpert	359.2	9.148770409186149	0.04860853432282	0.0030170218720223		0.1390417020797056	5
AGS	revpert	411.6	14.380542409798046	0.0353789137219369	0.0031226771876047		0.1315389056575618	5
BICR6	revpert	439.6	23.179732526498224	0.0359253422622728	0.0045417576360339		0.1305339346897116	5
ES2	revpert	347.4	15.820872289478856	0.0637761298884049	0.0037521825398879		0.1500486815454393	5
HT29	revpert	413.6	25.754611237601708	0.0366382460414129	0.0011110113764668		0.1309310822404386	5
MCF7	revpert	494.3	30.954805765825764	0.0291360480467527	0.0025724784101204		0.1244268196642624	5
PC3	revpert	558.3	16.705538003907556	0.0241178699608916	0.0014842595491665		0.1194403450496077	5
U251MG	revpert	345.0	10.8397416943394	0.066139889792372	0.0030170325510492		0.1519939918725935	5
YAPC	revpert	480.4	17.700282483621553	0.0317854482244847	0.0023492535297274		0.1267946679214824	5
A375	pearson_train_gallery	645.8	17.469974241537955	0.0255574151942129	0.0028626873346117		0.1182097344088397	5
A549	pearson_train_gallery	576.0	16.232683080747925	0.0270871985157699	0.0013564777469686		0.1202750708338073	5
AGS	pearson_train_gallery	668.6	10.64424727258814	0.0209076359856653	0.0012633541476888		0.114573472072746	5
BICR6	pearson_train_gallery	737.5	12.58967831201418	0.0191664644149532	0.0025351177321137		0.1126579040626706	5
ES2	pearson_train_gallery	615.0	13.46755360115563	0.027543488245748	0.0021074379962844		0.120063890504994	5
HT29	pearson_train_gallery	631.6	14.70714112259756	0.0198294762484774	0.0006114445991722		0.114432932060093	5
MCF7	pearson_train_gallery	743.1	24.444835855452173	0.0170448636412327	0.001911306895087		0.1101682323326101	5
PC3	pearson_train_gallery	821.5	28.0178514522438	0.0133778843747902	0.0021926545531244		0.10624381196768	5
U251MG	pearson_train_gallery	645.1	13.221195104830738	0.0298217929955518	0.0013688076871781		0.1205534397418149	5
YAPC	pearson_train_gallery	834.2	16.30030674557998	0.0173330022349143	0.0018698634812035		0.1094834476177864	5
A549	cmap_lite_pred_gallery	537.8	14.184498581197712	0.0272108843537415	0.0037220099124444	0.3463203463203463	0.1211877445077108	5
A549	gem_lite_topDEG_corr	559.4	11.54556191789728	0.0272933415790558	0.0026743040581867	0.3957946815089672	0.1206220079865181	5
A549	ridge_delta_to_gallery	478.4	29.18561289402708	0.1104926819212533	0.0056960428281377	2.494331065759637	0.1596966955905236	5
