cell	method	median_rank_mean	median_rank_std	mrr_mean	mrr_std	recall10_mean	recall10_std	n_seeds
hepg2	pearson_gallery	571.7	49.96448738854426	0.02372555732182494	0.004108348386048011	0.05119094259060526	0.011185403272958873	5
hepg2	revpert	261.6	33.753518335130636	0.0523741806013325	0.003231651816384528	0.1286615451876834	0.006553421955853006	5
jurkat	pearson_gallery	580.7	42.483231986279016	0.03372264453557674	0.0014179274915141963	0.0697213847298164	0.008308905757121308	5
jurkat	revpert	232.2	8.205181289892383	0.04903259493953156	0.004847635666065927	0.11283095144815206	0.008133324178153014	5
k562	pearson_gallery	38.8	6.290866395020641	0.1112226974720649	0.01927407875244135	0.22279411764705878	0.023911194913983972	5
k562	revpert	23.4	4.76182738032365	0.14047279124428963	0.016660961578910408	0.31764705882352934	0.03727585839893109	5
rpe1	pearson_gallery	144.2	27.783988194641886	0.05967355871107418	0.010435776040438402	0.13229166666666664	0.0201212955959186	5
rpe1	revpert	78.3	14.41613679180383	0.08687969099259588	0.01662603981679786	0.1963541666666666	0.027841452626883534	5
