gene	value
A1BG	-11.219878753333376
A1BG-AS1	1.3166814559999978
A1CF	37.27759236666674
A2M	-63.05347986516699
A2M-AS1	0.5005143253333344
A2ML1	-0.025415171633333955
A4GALT	-3.7447371846666684
A4GNT	0.6140619421333344
AA06	-2.2553216880000004
AAAS	-17.40814683333332
AACS	6.4061381200000085
AACSP1	-0.7601786209999997
AADAC	-145.46649928666665
AADACL2	0.025387479533333313
AADACP1	-0.12599303946666573
AADAT	-0.07111452866666212
AAGAB	3.602474199377781
AAK1	6.283510286171435
AAMDC	-7.37398140137779
AAMP	-25.688879546666726
AANAT	1.8616214375333344
AAR2	-18.759983906666662
AARS1	94.41144031333329
AARS2	5.804805453
AASDH	0.5895542996666663
AASDHPPT	52.52479329708888
AASS	-9.563962057000012
AATBC	0.4925281931999983
AATF	-26.72938978666656
ABAT	-195.2148251873332
ABCA1	-63.667124544800004
ABCA11P	-2.200371193333332
ABCA12	0.04617716120000015
ABCA13	0.15631521599999987
ABCA17P	13.32871638933333
ABCA2	-1.1137894633333332
ABCA3	2.7521192499999927
ABCA4	-2.6414637759333353
ABCA5	-0.2686775594333284
ABCA6	0.5984678946000006
ABCA7	-12.089994650666654
ABCA8	1.8267046677555534
ABCA9	-0.6085325964222212
ABCB1	-0.037975386266666966
ABCB10	-18.127588306666695
ABCB11	0.13294752466666626
ABCB4	-0.17949774944444563
ABCB5	-0.41294242689999994
ABCB6	-0.9529296786666634
ABCB7	-106.04629346666684
ABCB8	-0.20155284400000184
ABCB9	-3.5823237330000026
ABCC1	2.422533567000002
ABCC10	1.697661228333331
ABCC11	0.44124334323333514
ABCC12	-0.09750873516666658
ABCC13	-0.021643155283334714
ABCC2	31.814738299999988
ABCC3	1.0013624425333347
ABCC4	-11.03209612043333
ABCC5	0.3083683957777765
ABCC6	-44.009292958
ABCC6P1	-23.878385005333314
ABCC6P2	-140.67947636666668
ABCC8	0.4231385866666706
ABCC9	0.2466315043200007
ABCD1	-0.34917704133333416
ABCD2	-0.412898833466667
ABCD3	-224.04383801333302
ABCD4	1.7610317626666685
ABCE1	-1.6062342933333298
ABCF1	-31.189186793333363
ABCF2	0.42241047000000265
ABCF3	0.29577602666665825
ABCG1	0.1391889531999997
ABCG2	61.95918306666664
ABCG4	-1.1486830386666647
ABCG5	-2.5914773039999996
ABCG8	-3.271537558000002
ABHD1	-1.0945355765111113
ABHD10	11.062425203333333
ABHD11	-4.666839732288892
ABHD12	5.035233785111103
ABHD12B	0.2548173659333326
ABHD13	-6.044543206
ABHD14B	-36.311264953333335
ABHD15	2.6122250373333458
ABHD16A	6.905560745666662
ABHD16B	-1.0565296019999977
ABHD17A	-27.463672506666683
ABHD17B	6.278831931333329
ABHD17C	34.277432006666686
ABHD18	3.2920777179111127
ABHD2	36.18911603488888
ABHD3	-10.698476700000015
ABHD4	3.2884292470000105
ABHD5	1.2195175042666655
ABHD6	11.404804379983332
ABHD8	5.55766710066667
ABI1	3.406806767088881
ABI2	-1.7982022251750038
ABI3	0.6537816439999986
ABI3BP	0.03206252533333309
ABITRAM	6.84003158666664
ABL1	-5.59781112666667
ABL2	-2.73149116066665
ABLIM1	16.76318952666668
ABLIM2	0.34365890668000176
ABLIM3	32.76721854533333
ABO	-0.6287149593999999
ABR	3.2510315193333312
ABRA	-0.3452441971000013
ABRACL	44.62960944666665
ABRAXAS1	-14.178713040000005
ABRAXAS2	25.845132286666654
ABT1	-4.225726246666653
ABTB1	-0.5930525458266693
ABTB2	-2.5358508213333266
ABTB3	-0.16110147110000028
ACAA1	-109.09195462999992
ACAA2	-62.46963177311113
ACACA	4.549162086333354
ACACB	-5.533932712499983
ACAD10	-3.094763668249996
ACAD8	-14.502741673333333
ACAD9	2.3132678926666728
ACADL	0.5037352209999995
ACADM	-270.41214153333294
ACADS	-5.884953153333342
ACADSB	-87.96134568666673
ACADVL	41.484223226666586
ACAN	-1.5156707002333256
ACAP1	-2.478106186222213
ACAP2	-2.165155845800001
ACAP3	-7.339260594000002
ACAT1	-61.062759451511056
ACAT2	-90.35739776666685
ACBD3	12.51473144366662
ACBD4	-6.3323646426666755
ACBD5	-73.43326791000004
ACBD6	-75.23421424666662
