true_ko	rank_pearson	rank_revpert	cell	cell_line	seed	alpha_star	n_catalog
FBLIM1	1126	559	hepg2	HepG2	1	0.43850818276405334	2372
NAA50	452	511	hepg2	HepG2	1	0.43850818276405334	2372
ARFRP1	1691	898	hepg2	HepG2	1	0.43850818276405334	2372
SPRTN	1017	61	hepg2	HepG2	1	0.43850818276405334	2372
EIF2B4	5	2	hepg2	HepG2	1	0.43850818276405334	2372
ABT1	78	6	hepg2	HepG2	1	0.43850818276405334	2372
RRM2	1236	1194	hepg2	HepG2	1	0.43850818276405334	2372
PSMC2	414	37	hepg2	HepG2	1	0.43850818276405334	2372
ARPC4	109	229	hepg2	HepG2	1	0.43850818276405334	2372
RPL36	2	6	hepg2	HepG2	1	0.43850818276405334	2372
INO80D	11	26	hepg2	HepG2	1	0.43850818276405334	2372
RAE1	269	257	hepg2	HepG2	1	0.43850818276405334	2372
LTBP3	794	473	hepg2	HepG2	1	0.43850818276405334	2372
DHX8	25	60	hepg2	HepG2	1	0.43850818276405334	2372
CNOT10	1415	439	hepg2	HepG2	1	0.43850818276405334	2372
VPS29	2250	2223	hepg2	HepG2	1	0.43850818276405334	2372
ZNF687	917	1157	hepg2	HepG2	1	0.43850818276405334	2372
LRRC37A3	857	65	hepg2	HepG2	1	0.43850818276405334	2372
SS18L2	1467	1254	hepg2	HepG2	1	0.43850818276405334	2372
GARS	2	1	hepg2	HepG2	1	0.43850818276405334	2372
MRPL38	118	65	hepg2	HepG2	1	0.43850818276405334	2372
GTF2E2	48	19	hepg2	HepG2	1	0.43850818276405334	2372
NFYC	121	149	hepg2	HepG2	1	0.43850818276405334	2372
NUP133	772	4	hepg2	HepG2	1	0.43850818276405334	2372
MRPS17	27	24	hepg2	HepG2	1	0.43850818276405334	2372
YARS2	142	137	hepg2	HepG2	1	0.43850818276405334	2372
CHMP6	167	24	hepg2	HepG2	1	0.43850818276405334	2372
MBIP	281	66	hepg2	HepG2	1	0.43850818276405334	2372
DHX15	1712	1469	hepg2	HepG2	1	0.43850818276405334	2372
ZNF207	404	119	hepg2	HepG2	1	0.43850818276405334	2372
PTCD1	50	44	hepg2	HepG2	1	0.43850818276405334	2372
VPS37A	355	48	hepg2	HepG2	1	0.43850818276405334	2372
GIT2	87	82	hepg2	HepG2	1	0.43850818276405334	2372
CPSF3	467	7	hepg2	HepG2	1	0.43850818276405334	2372
PIAS4	391	796	hepg2	HepG2	1	0.43850818276405334	2372
MCEE	44	45	hepg2	HepG2	1	0.43850818276405334	2372
BRCA2	688	727	hepg2	HepG2	1	0.43850818276405334	2372
UTP20	18	22	hepg2	HepG2	1	0.43850818276405334	2372
DNAJC19	949	1289	hepg2	HepG2	1	0.43850818276405334	2372
SLC25A10	1778	1235	hepg2	HepG2	1	0.43850818276405334	2372
THAP11	468	584	hepg2	HepG2	1	0.43850818276405334	2372
METTL3	54	16	hepg2	HepG2	1	0.43850818276405334	2372
IRF2BP2	645	1462	hepg2	HepG2	1	0.43850818276405334	2372
DSTYK	4	2	hepg2	HepG2	1	0.43850818276405334	2372
PSMD9	794	998	hepg2	HepG2	1	0.43850818276405334	2372
CCT7	79	12	hepg2	HepG2	1	0.43850818276405334	2372
RPL24	3	2	hepg2	HepG2	1	0.43850818276405334	2372
PSMD13	173	9	hepg2	HepG2	1	0.43850818276405334	2372
GTF2F2	86	7	hepg2	HepG2	1	0.43850818276405334	2372
TUBA3D	500	616	hepg2	HepG2	1	0.43850818276405334	2372
